gene,n_significant_variants,median_odds_ratio,median_mdr_freq,median_susc_freq,n_enriched_MDR,is_compensatory,is_primary_DR
Rv2409c,9,0.0,0.0,0.023303,0,0,0
Rv2326c,9,0.0,0.0,0.026342,1,0,0
PE_PGRS58,9,0.1887,0.006889,0.035461,4,0,0
Rv0987,9,2.4494,0.125144,0.055724,8,0,0
Rv0530A,9,0.0461,0.001148,0.02229,0,0,0
hisI,9,0.0851,0.002296,0.024316,2,0,0
PE_PGRS38,9,1.3924,0.056257,0.098278,5,0,0
PE_PGRS25,9,3.1191,0.051665,0.032421,7,0,0
lipG,9,0.0,0.0,0.025329,0,0,0
Rv0359,9,0.0,0.0,0.023303,1,0,0
Rv1138c,9,0.0,0.0,0.024316,0,0,0
pks1,9,0.0,0.0,0.021277,4,0,0
Rv2620c,9,0.0,0.0,0.021277,0,0,0
Rv0258c,9,0.0461,0.001148,0.024316,0,0,0
echA10,9,0.0556,0.001148,0.024316,1,0,0
eccE2,9,0.0,0.0,0.021277,2,0,0
mycP3,9,0.0,0.0,0.024316,1,0,0
fabH,9,0.0504,0.001148,0.02229,0,0,0
Rv0653c,9,0.0,0.0,0.023303,0,0,0
mycP5,9,0.3587,0.016073,0.033435,3,0,0
Rv3678A,9,0.0788,0.002296,0.024316,0,0,0
TB15.3,9,0.0442,0.001148,0.025329,0,0,0
Rv3843c,9,0.1237,0.005741,0.033435,2,0,0
Rv3137,9,0.0482,0.001148,0.023303,1,0,0
trxB1,9,0.0504,0.001148,0.02229,0,0,0
Rv0784,9,0.0,0.0,0.023303,0,0,0
tagA,9,0.0442,0.001148,0.024316,0,0,0
sugI,9,0.0504,0.001148,0.023303,1,0,0
modB,9,0.0,0.0,0.024316,0,0,0
cstA,9,0.1893,0.020666,0.02229,4,0,0
Rv2743c,9,0.0,0.0,0.024316,0,0,0
Rv1592c,9,0.0529,0.001148,0.021277,3,0,0
Rv2488c,9,3.2745,0.035591,0.013171,5,0,0
devB,9,0.0,0.0,0.021277,1,0,0
Rv0142,9,0.0,0.0,0.02229,1,0,0
Rv0145,9,0.1173,0.002296,0.01925,0,0,0
bioD,9,0.0,0.0,0.024316,1,0,0
Rv0537c,9,0.0504,0.001148,0.02229,2,0,0
thrB,9,0.0,0.0,0.02229,1,0,0
Rv3463,9,0.0461,0.001148,0.023303,0,0,0
atpF,9,0.0,0.0,0.023303,0,0,0
Rv2148c,9,0.0529,0.001148,0.02229,0,0,0
tmk,9,0.0965,0.002296,0.023303,0,0,0
Rv0216,9,0.0,0.0,0.020263,0,0,0
Rv0909,9,0.0529,0.001148,0.021277,1,0,0
PE_PGRS17,8,3.1134000000000004,0.030425,0.045086,6,0,0
Rv0760c,8,0.0241,0.000574,0.021277,0,0,0
ldtA,8,0.05165,0.001148,0.0217835,0,0,0
irtB,8,0.0504,0.001148,0.0217835,0,0,0
Rv0948c,8,0.0417,0.001148,0.027356,1,0,0
PE_PGRS5,8,15.229199999999999,0.048794500000000005,0.007598499999999999,7,0,0
PE_PGRS30,8,3.0012499999999998,0.0396095,0.032928,5,0,0
Rv1021,8,0.04335,0.001148,0.02229,0,0,0
Rv2876,8,0.0529,0.001148,0.021277,0,0,0
hpx,8,0.02125,0.000574,0.0217835,0,0,0
Rv0373c,8,0.3837,0.011481,0.025835999999999998,3,0,0
Rv3694c,8,0.0197,0.000574,0.026342499999999998,1,0,0
PE_PGRS52,8,2.3793499999999996,0.055682999999999996,0.0410335,6,0,0
Rv1125,8,0.0529,0.001148,0.023303,3,0,0
Rv2968c,8,0.0,0.0,0.0258355,0,0,0
Rv2969c,8,0.0499,0.001148,0.02229,0,0,0
lprK,8,0.046200000000000005,0.001148,0.0227965,0,0,0
gcvH,8,0.0,0.0,0.0248225,2,0,0
Rv3541c,8,0.04045,0.001148,0.0238095,0,0,0
Rv2721c,8,0.0,0.0,0.02229,1,0,0
Rv2994,8,0.11235,0.0040184999999999995,0.0217835,3,0,0
mmpL4,8,0.0,0.0,0.0258355,2,0,0
mmpL8,8,3.8537999999999997,0.055682999999999996,0.015704,6,0,0
Rv0712,8,0.019,0.000574,0.0227965,0,0,0
PPE37,8,1.18865,0.0241105,0.0790275,4,0,0
PPE45,8,0.10865,0.0034444999999999996,0.023303,3,0,0
Rv3035,8,0.0443,0.001148,0.0238095,0,0,0
PPE46,8,1.47295,0.128588,0.0886525,7,0,0
Rv2618,8,0.0556,0.001148,0.020263,0,0,0
Rv2037c,8,1.9836,0.042480000000000004,0.020263,4,0,0
Rv1264,8,0.0,0.0,0.023303,1,0,0
Rv0043c,8,0.0495,0.001148,0.023303,1,0,0
Rv1301,8,0.0,0.0,0.023303,1,0,0
modC,8,0.0556,0.001148,0.020263,0,0,0
Rv3479,8,7.13205,0.040758,0.024315999999999997,6,0,0
esxK,8,3.7398,0.11136599999999999,0.028369,6,0,0
secG,8,0.0,0.0,0.0238095,0,0,0
proV,8,0.02305,0.000574,0.02229,0,0,0
Rv0068,8,0.0,0.0,0.0248225,1,0,0
espE,8,3.4228,0.038461499999999996,0.02077,5,0,0
espK,8,3.03595,0.057405,0.028369,7,0,0
emrB,8,0.02305,0.000574,0.02229,1,0,0
egtE,8,0.0,0.0,0.021277,0,0,0
eccE1,8,6.2816,0.030425,0.0298885,5,0,0
mbtN,8,0.0586,0.001148,0.0197565,1,0,0
Rv0128,8,0.04335,0.001148,0.0248225,0,0,0
dapA,8,0.0505,0.001148,0.02229,0,0,0
tgs2,8,0.0,0.0,0.021277,2,0,0
mtc28,8,0.0493,0.001148,0.0238095,2,0,0
Rv1866,8,0.0,0.0,0.0238095,1,0,0
