feature,importance,rank
feature_3348,0.004690988984221641,645
feature_4579,0.004682299684663292,646
feature_4999,0.004676776726363901,647
feature_3536,0.0046644989863320165,648
feature_3360,0.004661827192478552,649
feature_0778,0.004659908594786792,650
feature_4492,0.004657993856511224,651
feature_0133,0.0046577939392903585,652
feature_2090,0.004643793441348127,653
feature_2317,0.004642923343324312,654
feature_1571,0.004639428720277029,655
feature_4604,0.004637190393764684,656
feature_0239,0.004633902793028706,657
feature_1529,0.004631902525805452,658
feature_0129,0.004631086911408291,659
feature_2982,0.004628309153410146,660
feature_2966,0.004627107396767072,661
feature_1289,0.004626517656535138,662
feature_4965,0.004626307339648764,663
feature_1141,0.004622638713336234,664
feature_0661,0.004622615676394545,665
feature_1918,0.004620401787017264,666
feature_3177,0.004614139288033424,667
feature_4024,0.004614045748158183,668
feature_0901,0.004613298539810348,669
feature_2454,0.004610876610456509,670
feature_0060,0.004607725486685557,671
feature_1432,0.004607009361876603,672
feature_3800,0.004605416162527216,673
feature_0990,0.004603583048189188,674
feature_2732,0.004599426505786769,675
feature_1444,0.004597824780010683,676
feature_2529,0.004597467566536553,677
feature_4822,0.004596485083960912,678
feature_0532,0.004596058894207606,679
feature_0331,0.004594328298044518,680
feature_0677,0.0045937964968720945,681
feature_4329,0.004593275317835378,682
feature_3287,0.004592920413702678,683
feature_0298,0.004592574143858585,684
feature_4224,0.004591730959808402,685
feature_1788,0.004590404666553177,686
feature_2491,0.004590265687959871,687
feature_3189,0.004589407060619137,688
feature_1040,0.004588956133277177,689
feature_0047,0.004587824534444966,690
feature_3020,0.0045877916229631575,691
feature_3086,0.0045876661181093485,692
feature_1644,0.004587213631554333,693
feature_2370,0.004585148661307826,694
feature_2608,0.004584922756125377,695
feature_0770,0.004584659596270169,696
feature_3549,0.004584195446282371,697
feature_3056,0.004583779799157213,698
feature_4340,0.004582246868487499,699
feature_1446,0.004581349492514775,700
feature_4743,0.00458069966641967,701
feature_3553,0.004577926642841544,702
feature_2342,0.004577400146914702,703
feature_0283,0.0045761455997621985,704
feature_1320,0.004575672468733144,705
feature_0165,0.004572432156884134,706
feature_2298,0.0045717538993178194,707
feature_3875,0.004571738035786157,708
feature_3770,0.004571593705468515,709
feature_2836,0.004570463385776016,710
feature_2257,0.004570172878529153,711
feature_2889,0.004569717868116794,712
feature_1639,0.004569294121974745,713
feature_3795,0.004568959567205611,714
feature_1326,0.004567696810460967,715
feature_2509,0.0045665884135332275,716
feature_1604,0.004566173669469615,717
feature_2539,0.004565998192704365,718
feature_4633,0.004565563462678851,719
feature_2384,0.004564694707741046,720
feature_0253,0.0045644447856696005,721
feature_1343,0.0045643738227800984,722
feature_1168,0.00456423015013984,723
feature_0608,0.004562663966719003,724
feature_2364,0.004561124750716728,725
feature_3245,0.004560200864352957,726
feature_3636,0.004560107075160421,727
feature_1378,0.00455995830884044,728
feature_1795,0.004558234607554593,729
feature_3094,0.004557859075542053,730
feature_2287,0.004556835354839498,731
feature_1277,0.004554562565745426,732
feature_0845,0.004553899784938389,733
feature_3277,0.0045523953095634685,734
feature_3485,0.004552170488705643,735
feature_4185,0.0045503642351607376,736
feature_2755,0.00455024453043869,737
feature_1667,0.004550210158881377,738
feature_2005,0.004549169603488651,739
feature_1797,0.00454845677257812,740
feature_2235,0.004548435928134459,741
feature_4801,0.004548351251122044,742
feature_2497,0.004547606097085198,743
feature_3251,0.004545825671137659,744
feature_1823,0.004545298307056006,745
feature_2698,0.004545048482023421,746
feature_0274,0.0045431529307745026,747
feature_2001,0.004541496183251659,748
feature_1447,0.004539871567110756,749
feature_3018,0.004539793712587301,750
